Municipio,Día,Hora,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Escolaridad
ARMENIA (CT),Viernes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,14,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
SANTIAGO DE TOLÚ,Viernes,14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,54,MASCULINO,SEPARADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
RIOBLANCO,Viernes,19,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA
ANDALUCÍA,Viernes,11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Viernes,18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,61,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Viernes,3,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,BICICLETA,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
CALI (CT),Viernes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Viernes,11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
CALI (CT),Viernes,12,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
ANORÍ,Sábado,19,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
CAUCASIA,Sábado,17,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,ANALFABETA
CIUDAD BOLÍVAR,Sábado,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA
CIUDAD BOLÍVAR,Sábado,1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CIUDAD BOLÍVAR,Sábado,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
ITUANGO,Sábado,16,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MEDELLÍN (CT),Sábado,15,URBANA,CASAS DE HABITACION,CUERDA/SOGA/CADENA,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
MEDELLÍN (CT),Sábado,18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
REMEDIOS,Sábado,20,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
TURBO,Sábado,11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BARRANQUILLA (CT),Sábado,14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,PASAJERO VEHICULO,31,MASCULINO,CASADO,COLOMBIA,EMPLEADO POLICIAL,TECNICO
CARTAGENA (CT),Sábado,22,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
ANSERMA,Sábado,0,URBANA,LOTE BALDIO,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
LORICA,Sábado,23,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
BOGOTÁ D.C. (CT),Sábado,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
BOGOTÁ D.C. (CT),Sábado,11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PUERTO RICO,Sábado,9,RURAL,ZONA SELVÁTICA,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO POLICIAL,TECNICO
ABREGO,Sábado,6,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CÚCUTA (CT),Sábado,23,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,PRIMARIA
ARMENIA (CT),Sábado,13,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
ARMENIA (CT),Sábado,13,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
PEREIRA (CT),Sábado,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
BUCARAMANGA (CT),Sábado,4,URBANA,INTERIOR VEHICULO PARTICULAR,ARMA DE FUEGO,CONDUCTOR VEHICULO,PASAJERO VEHICULO,28,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
DOLORES,Sábado,23,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Sábado,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,46,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA
CALI (CT),Sábado,22,URBANA,BILLARES,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Sábado,11,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
CALI (CT),Sábado,12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
JAMUNDÍ,Sábado,16,RURAL,CARRETERA,SIN EMPLEO DE ARMAS,A PIE,A PIE,51,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,ANALFABETA
PALMIRA,Sábado,15,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CAICEDO,Domingo,10,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
ITUANGO,Domingo,8,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,56,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,ANALFABETA
ITUANGO,Domingo,6,RURAL,SELVA,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,GRUPOS ILEGALES,PRIMARIA
ITUANGO,Domingo,6,RURAL,SELVA,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,GRUPOS ILEGALES,SECUNDARIA
MEDELLÍN (CT),Domingo,21,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
MEDELLÍN (CT),Domingo,1,URBANA,PUENTE PEATONAL,ARMA DE FUEGO,A PIE,A PIE,57,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SOPETRÁN,Domingo,10,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,PRIMARIA
TARAZÁ,Domingo,15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
BARRANQUILLA (CT),Domingo,15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
BARRANQUILLA (CT),Domingo,22,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,3,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,ANALFABETA
SANTA ROSA,Domingo,21,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
TURBACO,Domingo,17,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MUZO,Domingo,0,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
MANIZALES (CT),Domingo,8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,45,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
LA MONTAÑITA,Domingo,13,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
SAN VICENTE DEL CAGUÁN,Domingo,0,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,PRIMARIA
BOLÍVAR,Domingo,23,RURAL,GALLERA,ARMA DE FUEGO,CONDUCTOR TAXI,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
CURUMANÍ,Domingo,15,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
BUENAVISTA,Domingo,16,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MONTERÍA (CT),Domingo,20,RURAL,GALLERA,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
PUERTO LIBERTADOR,Domingo,11,RURAL,CASAS DE HABITACION,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
BOGOTÁ D.C. (CT),Domingo,18,URBANA,CAÑOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BOGOTÁ D.C. (CT),Domingo,12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,80,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Domingo,4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
BOGOTÁ D.C. (CT),Domingo,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Domingo,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
VILLANUEVA,Domingo,4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
ISNOS,Domingo,6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
SANTA MARÍA,Domingo,0,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,MASCULINO,CASADO,COLOMBIA,AGRICULTOR,SECUNDARIA
EL BANCO,Domingo,1,URBANA,ESTADERO,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
VILLAVICENCIO (CT),Domingo,1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PAMPLONA,Domingo,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
TIBÚ,Domingo,1,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,VENEZUELA,AGRICULTOR,PRIMARIA
TIBÚ,Domingo,1,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,VENEZUELA,INDEPENDIENTE,SECUNDARIA
TIBÚ,Domingo,1,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,VENEZUELA,AGRICULTOR,SECUNDARIA
SAN MIGUEL,Domingo,21,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,ETNIA INDIGENA,PRIMARIA
SANTA ROSA DE CABAL,Domingo,13,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,61,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
SAN ANDRÉS (CT),Domingo,14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
SAN ANDRÉS (CT),Domingo,22,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BUCARAMANGA (CT),Domingo,20,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PUBLICO,SUPERIOR
LEBRIJA,Domingo,3,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,PRIMARIA
PURIFICACIÓN,Domingo,1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BUENAVENTURA,Domingo,21,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,69,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
BUENAVENTURA,Domingo,19,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Domingo,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
CALI (CT),Domingo,12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CALI (CT),Domingo,13,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
CALI (CT),Domingo,13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
CALI (CT),Domingo,13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
LETICIA (CT),Lunes,4,URBANA,PUENTE PEATONAL,CONTUNDENTES,A PIE,A PIE,73,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
CÁCERES,Lunes,13,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
ITAGUI,Lunes,21,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,BICICLETA,BICICLETA,27,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
ITUANGO,Lunes,19,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,ANALFABETA
JARDÍN,Lunes,18,URBANA,PARQUEADERO,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
MEDELLÍN (CT),Lunes,17,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,37,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MEDELLÍN (CT),Lunes,23,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
REMEDIOS,Lunes,3,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,49,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
TARAZÁ,Lunes,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
TURBO,Lunes,18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
YARUMAL,Lunes,17,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
ARAUCA (CT),Lunes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
SABANALARGA,Lunes,21,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SABANALARGA,Lunes,21,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CALAMAR,Lunes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
CARTAGENA (CT),Lunes,0,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
EL TAMBO,Lunes,0,RURAL,LOTE BALDIO,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SANTANDER DE QUILICHAO,Lunes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,SECUNDARIA
SUÁREZ,Lunes,6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
GONZÁLEZ,Lunes,21,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
LORICA,Lunes,19,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,46,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SAHAGÚN,Lunes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
GIRARDOT,Lunes,20,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MAICAO,Lunes,10,RURAL,TROCHA,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
VILLAVICENCIO (CT),Lunes,23,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
EL PEÑOL,Lunes,0,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,23,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,SECUNDARIA
CÚCUTA (CT),Lunes,14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
CÚCUTA (CT),Lunes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,36,MASCULINO,UNION LIBRE,VENEZUELA,EMPLEADO PARTICULAR,PRIMARIA
PUERTO ASÍS,Lunes,8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,57,FEMENINO,CASADO,COLOMBIA,EMPLEADO PUBLICO,SUPERIOR
ARMENIA (CT),Lunes,21,URBANA,INTERIOR VEHICULO SERVICIO PUBLICO,ARMA DE FUEGO,PASAJERO TAXI,CONDUCTOR TAXI,24,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
IBAGUÉ (CT),Lunes,16,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
ANSERMANUEVO,Lunes,9,RURAL,HACIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR MOTOCICLETA,49,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
GUACARÍ,Lunes,2,RURAL,DENTRO DE LA VIVIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
PALMIRA,Lunes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,43,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO SALUD,SUPERIOR
MEDELLÍN (CT),Martes,20,URBANA,LOCAL COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,58,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
SALGAR,Martes,6,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
SEGOVIA,Martes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
TARAZÁ,Martes,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
BARRANQUILLA (CT),Martes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO TAXI,CONDUCTOR TAXI,50,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
BARRANQUILLA (CT),Martes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
MOMPÓS,Martes,23,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,38,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,ANALFABETA
MOMPÓS,Martes,23,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,73,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,ANALFABETA
SIMITÍ,Martes,8,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
